matrix_size,obstacles,all_obstacle_coords,start_x,start_y,end_x,end_y
10,"[{'top_left': (7, 6), 'bottom_right': (9, 8)}, {'top_left': (6, 2), 'bottom_right': (8, 4)}]","[(7, 6), (7, 7), (7, 8), (8, 6), (8, 7), (8, 8), (9, 6), (9, 7), (9, 8), (6, 2), (6, 3), (6, 4), (7, 2), (7, 3), (7, 4), (8, 2), (8, 3), (8, 4)]",5,0,7,9
10,"[{'top_left': (7, 6), 'bottom_right': (9, 8)}, {'top_left': (6, 2), 'bottom_right': (8, 4)}]","[(7, 6), (7, 7), (7, 8), (8, 6), (8, 7), (8, 8), (9, 6), (9, 7), (9, 8), (6, 2), (6, 3), (6, 4), (7, 2), (7, 3), (7, 4), (8, 2), (8, 3), (8, 4)]",9,3,3,1
10,"[{'top_left': (7, 6), 'bottom_right': (9, 8)}, {'top_left': (6, 2), 'bottom_right': (8, 4)}]","[(7, 6), (7, 7), (7, 8), (8, 6), (8, 7), (8, 8), (9, 6), (9, 7), (9, 8), (6, 2), (6, 3), (6, 4), (7, 2), (7, 3), (7, 4), (8, 2), (8, 3), (8, 4)]",3,3,4,2
10,"[{'top_left': (7, 6), 'bottom_right': (9, 8)}, {'top_left': (6, 2), 'bottom_right': (8, 4)}]","[(7, 6), (7, 7), (7, 8), (8, 6), (8, 7), (8, 8), (9, 6), (9, 7), (9, 8), (6, 2), (6, 3), (6, 4), (7, 2), (7, 3), (7, 4), (8, 2), (8, 3), (8, 4)]",4,0,4,6
10,"[{'top_left': (7, 6), 'bottom_right': (9, 8)}, {'top_left': (6, 2), 'bottom_right': (8, 4)}]","[(7, 6), (7, 7), (7, 8), (8, 6), (8, 7), (8, 8), (9, 6), (9, 7), (9, 8), (6, 2), (6, 3), (6, 4), (7, 2), (7, 3), (7, 4), (8, 2), (8, 3), (8, 4)]",1,6,8,5
10,"[{'top_left': (6, 3), 'bottom_right': (8, 5)}, {'top_left': (7, 4), 'bottom_right': (9, 6)}]","[(6, 3), (6, 4), (6, 5), (7, 3), (7, 4), (7, 5), (8, 3), (8, 4), (8, 5), (7, 4), (7, 5), (7, 6), (8, 4), (8, 5), (8, 6), (9, 4), (9, 5), (9, 6)]",9,9,0,5
10,"[{'top_left': (6, 3), 'bottom_right': (8, 5)}, {'top_left': (7, 4), 'bottom_right': (9, 6)}]","[(6, 3), (6, 4), (6, 5), (7, 3), (7, 4), (7, 5), (8, 3), (8, 4), (8, 5), (7, 4), (7, 5), (7, 6), (8, 4), (8, 5), (8, 6), (9, 4), (9, 5), (9, 6)]",3,9,0,2
10,"[{'top_left': (6, 3), 'bottom_right': (8, 5)}, {'top_left': (7, 4), 'bottom_right': (9, 6)}]","[(6, 3), (6, 4), (6, 5), (7, 3), (7, 4), (7, 5), (8, 3), (8, 4), (8, 5), (7, 4), (7, 5), (7, 6), (8, 4), (8, 5), (8, 6), (9, 4), (9, 5), (9, 6)]",7,1,4,9
10,"[{'top_left': (6, 3), 'bottom_right': (8, 5)}, {'top_left': (7, 4), 'bottom_right': (9, 6)}]","[(6, 3), (6, 4), (6, 5), (7, 3), (7, 4), (7, 5), (8, 3), (8, 4), (8, 5), (7, 4), (7, 5), (7, 6), (8, 4), (8, 5), (8, 6), (9, 4), (9, 5), (9, 6)]",3,2,3,8
10,"[{'top_left': (6, 3), 'bottom_right': (8, 5)}, {'top_left': (7, 4), 'bottom_right': (9, 6)}]","[(6, 3), (6, 4), (6, 5), (7, 3), (7, 4), (7, 5), (8, 3), (8, 4), (8, 5), (7, 4), (7, 5), (7, 6), (8, 4), (8, 5), (8, 6), (9, 4), (9, 5), (9, 6)]",2,6,4,5
10,"[{'top_left': (3, 7), 'bottom_right': (5, 9)}, {'top_left': (6, 7), 'bottom_right': (8, 9)}]","[(3, 7), (3, 8), (3, 9), (4, 7), (4, 8), (4, 9), (5, 7), (5, 8), (5, 9), (6, 7), (6, 8), (6, 9), (7, 7), (7, 8), (7, 9), (8, 7), (8, 8), (8, 9)]",5,3,7,0
10,"[{'top_left': (3, 7), 'bottom_right': (5, 9)}, {'top_left': (6, 7), 'bottom_right': (8, 9)}]","[(3, 7), (3, 8), (3, 9), (4, 7), (4, 8), (4, 9), (5, 7), (5, 8), (5, 9), (6, 7), (6, 8), (6, 9), (7, 7), (7, 8), (7, 9), (8, 7), (8, 8), (8, 9)]",4,4,6,3
10,"[{'top_left': (3, 7), 'bottom_right': (5, 9)}, {'top_left': (6, 7), 'bottom_right': (8, 9)}]","[(3, 7), (3, 8), (3, 9), (4, 7), (4, 8), (4, 9), (5, 7), (5, 8), (5, 9), (6, 7), (6, 8), (6, 9), (7, 7), (7, 8), (7, 9), (8, 7), (8, 8), (8, 9)]",7,5,6,0
